model,seed,split,genotype,year,rmse,mae,n_scored
Logi-ODE,0,train,33,2018,0.10238588749785438,0.06878350186346985,67
Logi-ODE,0,train,33,2019,0.13794356254772558,0.08493877345178652,59
Logi-ODE,0,train,106,2018,0.09628691995553852,0.06594223326755412,67
Logi-ODE,0,train,106,2019,0.13814493384308416,0.08664434724842879,59
Logi-ODE,0,train,122,2018,0.061642219893179,0.036974235644059154,67
Logi-ODE,0,train,122,2019,0.0902238096802377,0.055450789266243486,59
Logi-ODE,0,train,133,2018,0.07203742909348272,0.04480071172441211,67
Logi-ODE,0,train,133,2019,0.10742389293532108,0.06907793357781745,59
Logi-ODE,0,train,5,2018,0.11902873186763774,0.07348500961885941,67
Logi-ODE,0,train,5,2019,0.07498900159088835,0.046014750076188715,59
Logi-ODE,0,train,30,2018,0.12748145951128345,0.07614266455983257,67
Logi-ODE,0,train,30,2019,0.07494231788145683,0.04675739168433705,59
Logi-ODE,0,train,218,2018,0.06495325651556036,0.0413615559382111,67
Logi-ODE,0,train,218,2019,0.09200508913077093,0.05791214398911015,59
Logi-ODE,0,train,2,2018,0.0861015563735707,0.05489601691890246,67
Logi-ODE,0,train,2,2019,0.12033001864237247,0.07468452685928925,59
Logi-ODE,0,train,17,2018,0.07447169601304673,0.0489023244615963,67
Logi-ODE,0,train,17,2019,0.11429642125373435,0.07231625048001289,59
Logi-ODE,0,train,254,2018,0.06451442890479948,0.044863398668326754,67
Logi-ODE,0,train,254,2019,0.09499008094238724,0.058646426104045406,59
Logi-ODE,0,train,282,2018,0.07969091027654437,0.05018111774752332,67
Logi-ODE,0,train,282,2019,0.12025779352558977,0.0767388342948526,59
Logi-ODE,0,train,294,2018,0.07975698582302243,0.048767088657677066,67
Logi-ODE,0,train,294,2019,0.13015837087251275,0.08267438163434836,59
Logi-ODE,0,train,301,2018,0.08775793706640178,0.05789304803525835,67
Logi-ODE,0,train,301,2019,0.1310077619806674,0.08202734732816903,59
Logi-ODE,0,train,302,2018,0.09447928467866458,0.06571180087643688,67
Logi-ODE,0,train,302,2019,0.14928956748943117,0.09161135835681375,59
Logi-ODE,0,train,335,2018,0.06930409821660592,0.04552318250187881,67
Logi-ODE,0,train,335,2019,0.09312155570126318,0.05880695121711732,59
Logi-ODE,0,train,339,2018,0.06283610329994165,0.0395919795116128,67
Logi-ODE,0,train,339,2019,0.09426973865076813,0.05995488587676218,59
Logi-ODE,0,train,341,2018,0.05532412681758067,0.034903796065158886,67
Logi-ODE,0,train,341,2019,0.08855519671802414,0.05517813538766515,59
Logi-ODE,0,train,6,2018,0.13417467338488515,0.08464362160343712,67
Logi-ODE,0,train,6,2019,0.08426797595806311,0.05107882544159545,59
Logi-ODE,0,train,362,2018,0.08807823466491874,0.055914291769636734,67
Logi-ODE,0,train,362,2019,0.1407756825126402,0.09093493647145294,59
Logi-ODE,0,val,33,2022,0.06217836910032848,0.035991965695632754,42
Logi-ODE,0,val,106,2022,0.07750045070059476,0.04725167239984317,42
Logi-ODE,0,val,122,2022,0.023545103287390932,0.01684936927231449,42
Logi-ODE,0,val,133,2022,0.037630956857028684,0.02493638635138672,42
Logi-ODE,0,val,5,2022,0.08444944065475066,0.062215170007788666,42
Logi-ODE,0,val,30,2022,0.06850716879649782,0.0483326087479036,42
Logi-ODE,0,val,218,2022,0.018268388482962666,0.012973045218291715,42
Logi-ODE,0,val,2,2022,0.08534945315434596,0.055209551591812005,42
Logi-ODE,0,val,17,2022,0.07549314361054549,0.05873267109760264,42
Logi-ODE,0,val,254,2022,0.041032732988360694,0.025041570088676128,42
Logi-ODE,0,val,282,2022,0.08312798697394133,0.05529426864263678,42
Logi-ODE,0,val,294,2022,0.053782497075377335,0.034886598918891586,42
Logi-ODE,0,val,301,2022,0.06668479019014752,0.04151941918929084,42
Logi-ODE,0,val,302,2022,0.0755409664571696,0.0441588794304694,42
Logi-ODE,0,val,335,2022,0.022055831157249968,0.01611752371282112,42
Logi-ODE,0,val,339,2022,0.03731435995864594,0.02589809393472432,42
Logi-ODE,0,val,341,2022,0.017057776121376343,0.011879138059079445,42
Logi-ODE,0,val,6,2022,0.13937819716166766,0.09903771811142087,42
Logi-ODE,0,val,362,2022,0.06921785665918845,0.04110064078601267,42
Logi-ODE,0,test,33,2021,0.140919433743751,0.0893574319990889,72
Logi-ODE,0,test,106,2021,0.14401512718251344,0.0910291904307628,72
Logi-ODE,0,test,122,2021,0.08832403409140081,0.05415666310208869,72
Logi-ODE,0,test,133,2021,0.09783852997664873,0.06068726062198985,72
