dataset,variant,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds
wheat,full,train,0.022441050037741602,0.00019311050637910526,7.496693733547819,0.06451081035066283,3
wheat,full,val,0.038039951274792295,0.0006714023090582679,11.412709280922547,0.20143346947186613,3
wheat,full,test,0.03062912945946053,0.0006196607121157447,10.341137282818195,0.20921249169811226,3
maize,full,train,41.897380504492105,14.370437333043832,13.427161287558368,4.605399610193809,3
maize,full,val,47.24654463297455,2.6005900072494796,18.640579503083288,1.0260328064546962,3
maize,full,test,56.68436718577385,4.3696316962936335,18.398788964338056,1.4183087052644419,3
arabidopsis,full,train,1.4012999832630098,0.08785663447770445,6.660405501725227,0.4175842564957317,3
arabidopsis,full,val,3.24553735554218,0.005841194212176945,16.118439596974927,0.029009352156243867,3
arabidopsis,full,test,2.8659799446662233,0.09280767885552299,14.390860987900956,0.4660124741993365,3
wheat,no_ode_residual,train,0.022526704175171827,0.00016377806265567384,7.5253074942339575,0.054711966415941324,3
wheat,no_ode_residual,val,0.03775116294581774,0.0009952200724881943,11.326067286601855,0.2985849607376608,3
wheat,no_ode_residual,test,0.030471401076537036,0.00046736007708326604,10.287884353662387,0.1577921019277862,3
wheat,no_biological_loss,train,0.021079765440374775,5.751183826439437e-05,7.041940783329717,0.01921249838115384,3
wheat,no_biological_loss,val,0.03834178880450854,0.0008703114481480783,11.503266283791424,0.2611099964303765,3
wheat,no_biological_loss,test,0.030912635358158757,0.00023246885018011486,10.436855753132784,0.07848712438508228,3
maize,no_ode_residual,train,38.09103837165305,8.61716651302504,12.20731486475446,2.7616066498412404,3
maize,no_ode_residual,val,48.14266528717955,4.526489625300959,18.99413357627164,1.7858742980204276,3
maize,no_ode_residual,test,55.83338504626576,6.152928072126008,18.12257452331031,1.9971366133590607,3
maize,no_biological_loss,train,43.25181514960755,5.757829332030248,13.861226907280633,1.8452538601814386,3
maize,no_biological_loss,val,60.752947446188216,10.025984698537862,23.96937502445275,3.9556366782292978,3
maize,no_biological_loss,test,67.78140441037421,13.620087806329312,22.0006999701659,4.420850644819383,3
arabidopsis,no_ode_residual,train,1.4155548025424773,0.06024445826967875,6.7281589291776305,0.2863430572328158,3
arabidopsis,no_ode_residual,val,3.2414916932515845,0.10885883271243672,16.098347465498033,0.5406298949775876,3
arabidopsis,no_ode_residual,test,2.852352940080912,0.04284955257541199,14.32243610969004,0.21515920083604273,3
arabidopsis,no_biological_loss,train,1.1875417068372969,0.028188778068427952,5.644408343836226,0.13398179888412276,3
arabidopsis,no_biological_loss,val,3.277781866445903,0.046557868721871905,16.278576777478534,0.23122217141513132,3
arabidopsis,no_biological_loss,test,2.993163992726856,0.06620047924020411,15.029486515942546,0.33241052361556367,3
